160, 619036.174, 4204316.426, 4.05, 6.11, 6.09, 7.79, 7.61, 6.33  
161, 619041.721, 4204315.53, 4.15, 6.26, 6.19, 7.93, 7.73, 6.45  
162, 619046.964, 4204316.697, 3.98, 5.99, 6.01, 7.68, 7.52, 6.23  
163, 619052.283, 4204315.686, 3.62, 5.45, 5.63, 7.17, 7.07, 5.79  
164, 619057.419, 4204316.494, 3.19, 4.78, 5.16, 6.55, 6.53, 5.24  
165, 619062.838, 4204315.558, 2.45, 3.63, 4.37, 5.48, 5.60, 4.31  
166, 619067.985, 4204316.198, 1.96, 2.87, 3.84, 4.77, 4.98, 3.68  
167, 619073.22, 4204315.117, 1.52, 2.19, 3.37, 4.14, 4.43, 3.13  
168, 619076.412, 4204316.124, 1.15, 1.62, 2.97, 3.61, 3.96, 2.66  
169, 619076.27, 4204313.291, 1.66, 2.42, 3.53, 4.35, 4.61, 3.31  
170, 619077.237, 4204309.085, 1.57, 2.28, 3.43, 4.22, 4.50, 3.20  
171, 619076.636, 4204304.166, 2.00, 2.94, 3.89, 4.84, 5.04, 3.74  
172, 619077.387, 4204299.285, 1.88, 2.75, 3.76, 4.66, 4.88, 3.59  
173, 619076.169, 4204294.416, 1.34, 1.92, 3.18, 3.89, 4.21, 2.91  
174, 619077.111, 4204289.699, 1.62, 2.35, 3.48, 4.29, 4.56, 3.26  
175, 619076.318, 4204284.604, 1.60, 2.31, 3.45, 4.26, 4.53, 3.23  
176, 619077.232, 4204279.634, 1.13, 1.60, 2.96, 3.59, 3.95, 2.65  
177, 619076.499, 4204274.708, 0.98, 1.36, 2.79, 3.37, 3.75, 2.45  
178, 619077.295, 4204269.83, 0.73, 0.98, 2.53, 3.01, 3.44, 2.14  
179, 619076.317, 4204264.393, 0.82, 1.12, 2.63, 3.15, 3.56, 2.25  
180, 619077.249, 4204259.616, 1.33, 1.90, 3.17, 3.88, 4.19, 2.90  
181, 619076.652, 4204254.714, 2.00, 2.93, 3.88, 4.83, 5.03, 3.73  
182, 619076.528, 4204250.033, 2.01, 2.95, 3.89, 4.85, 5.04, 3.75  
183, 619074.947, 4204249.962, 2.07, 3.04, 3.96, 4.93, 5.12, 3.82  
184, 619070.979, 4204248.687, 2.12, 3.12, 4.01, 5.00, 5.18, 3.88  
185, 619065.742, 4204249.729, 1.79, 2.61, 3.66, 4.54, 4.77, 3.47  
186, 619060.639, 4204248.335, 1.43, 2.06, 3.28, 4.02, 4.32, 3.02  
187, 619055.618, 4204249.168, 1.53, 2.21, 3.38, 4.16, 4.45, 3.15  
188, 619050.33, 4204247.848, 1.75, 2.55, 3.62, 4.48, 4.72, 3.42  
189, 619044.989, 4204248.699, 1.91, 2.80, 3.79, 4.71, 4.92, 3.63  
190, 619039.666, 4204247.982, 1.67, 2.43, 3.53, 4.36, 4.62, 3.32  
191, 619034.489, 4204248.822, 1.59, 2.30, 3.45, 4.25, 4.52, 3.22  
192, 619029.196, 4204248.022, 1.63, 2.36, 3.49, 4.30, 4.57, 3.27  
193, 619024.193, 4204248.772, 1.72, 2.50, 3.58, 4.43, 4.68, 3.38  
194, 619019.307, 4204247.727, 1.86, 2.72, 3.74, 4.64, 4.86, 3.57  
195, 619014.391, 4204248.093, 1.84, 2.69, 3.72, 4.61, 4.83, 3.54  
196, 619009.354, 4204247.101, 1.97, 2.89, 3.86, 4.80, 5.00, 3.70  
197, 619004.023, 4204247.438, 2.02, 2.96, 3.90, 4.86, 5.05, 3.76  
198, 618998.752, 4204246.57, 2.12, 3.13, 4.02, 5.01, 5.19, 3.89  
199, 618993.255, 4204246.811, 2.20, 3.24, 4.10, 5.12, 5.28, 3.99  
200, 618988.316, 4204246.429, 2.11, 3.11, 4.01, 5.00, 5.17, 3.88  
201, 618983.127, 4204247.174, 2.17, 3.20, 4.07, 5.08, 5.25, 3.96  
202, 618978.118, 4204246.46, 2.38, 3.52, 4.29, 5.38, 5.51, 4.21  
203, 618972.837, 4204247.058, 2.36, 3.50, 4.28, 5.36, 5.49, 4.20  
204, 618967.909, 4204246.131, 2.23, 3.29, 4.13, 5.17, 5.32, 4.03  
205, 618962.655, 4204247.19, 1.78, 2.60, 3.66, 4.53, 4.76, 3.47  
206, 618957.352, 4204246.213, 1.42, 2.04, 3.27, 4.00, 4.31, 3.01  
207, 618952.224, 4204247.298, 1.68, 2.44, 3.54, 4.37, 4.63, 3.33  
208, 618947.089, 4204246.218, 1.76, 2.56, 3.63, 4.49, 4.73, 3.43  
209, 618941.946, 4204247.207, 2.23, 3.30, 4.14, 5.17, 5.33, 4.03  
210, 618937.061, 4204246.052, 2.06, 3.04, 3.95, 4.93, 5.11, 3.82  
211, 618931.776, 4204247.202, 1.69, 2.46, 3.55, 4.39, 4.65, 3.35  
212, 618926.367, 4204245.953, 1.74, 2.54, 3.61, 4.47, 4.71, 3.41  
213, 618920.598, 4204246.816, 1.44, 2.07, 3.29, 4.03, 4.33, 3.03  
214, 618915.724, 4204245.427, 1.42, 2.04, 3.27, 4.00, 4.31, 3.01  
215, 618910.298, 4204246.379, 1.14, 1.61, 2.96, 3.60, 3.95, 2.65  
216, 618904.928, 4204245.389, 1.09, 1.53, 2.91, 3.53, 3.89, 2.59  
217, 618899.296, 4204246.095, 1.49, 2.14, 3.34, 4.10, 4.39, 3.09  
218, 618894.08, 4204244.915, 1.78, 2.60, 3.65, 4.52, 4.76, 3.46  
219, 618888.719, 4204245.695, 1.81, 2.65, 3.69, 4.57, 4.80, 3.51  
220, 618883.409, 4204245.47, 1.39, 1.99, 3.23, 3.96, 4.27, 2.97  
221, 618878.246, 4204245.61, 1.42, 2.05, 3.27, 4.01, 4.31, 3.01  
222, 618872.707, 4204245.258, 1.14, 1.62, 2.97, 3.61, 3.96, 2.66  
223, 618867.632, 4204245.097, 1.27, 1.81, 3.10, 3.78, 4.11, 2.81  
224, 618862.307, 4204245.146, 1.23, 1.74, 3.06, 3.73, 4.06, 2.76  
225, 618857.016, 4204244.777, 1.12, 1.57, 2.94, 3.57, 3.92, 2.62  
226, 618851.936, 4204244.635, 1.08, 1.51, 2.90, 3.51, 3.88, 2.58  
227, 618846.988, 4204245.129, 1.06, 1.48, 2.87, 3.48, 3.85, 2.55  
228, 618841.942, 4204244.322, 1.11, 1.56, 2.93, 3.55, 3.91, 2.61  
229, 618837.055, 4204244.883, 0.95, 1.31, 2.76, 3.33, 3.71, 2.41  
230, 618832.002, 4204244.12, 0.93, 1.29, 2.74, 3.30, 3.69, 2.39  
231, 618827.396, 4204245.473, 1.27, 1.81, 3.10, 3.78, 4.11, 2.81  
232, 618824.407, 4204240.761, 0.65, 0.85, 2.44, 2.89, 3.33, 2.03  
233, 618823.494, 4204235.632, 0.51, 0.64, 2.29, 2.70, 3.17, 1.86  
234, 618824.781, 4204230.669, 0.58, 0.74, 2.36, 2.79, 3.25, 1.95  
235, 618824.028, 4204225.366, 0.28, 0.29, 2.05, 2.37, 2.88, 1.57  
236, 618825.25, 4204220.248, 0.40, 0.47, 2.17, 2.54, 3.03, 1.72  
237, 618824.649, 4204214.695, 0.45, 0.55, 2.23, 2.61, 3.09, 1.79  
